season,week,home_team,away_team,home_team_id,away_team_id,stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
2024,1,ARI,ATL,0,1,State Farm Stadium
